FECHA_DE_MUESTRA,FECHA_DE_CORTE,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,ESPECIE_GANADERA,NUMERO_ANIMALES MACHOS,CANTIDAD_KILOGRAMOS_CARNE_MACHOS,NUMERO_ANIMALES HEMBRAS,CANTIDAD_KILOGRAMOS_CARNE_HEMBRAS
20250803,20250731,200101,PIURA,PIURA,PIURA,VACUNO,463,97230,155,31.775
20250803,20250731,200110,PIURA,PIURA,LA UNION,VACUNO,152,31920,150,30.75
20250803,20250731,200105,PIURA,PIURA,CATACAOS,VACUNO,77,16170,129,26.445
20250803,20250731,200109,PIURA,PIURA,LA ARENA,VACUNO,,,,
20250803,20250731,200114,PIURA,PIURA,TAMBOGRANDE,VACUNO,26,4800,62,10595
20250803,20250731,200109,PIURA,PIURA,LAS LOMAS,VACUNO,8,1120,12,1680
20250803,20250731,200801,PIURA,SECHURA,SECHURA,VACUNO,,,,
20250803,20250731,200405,PIURA,MORROPON,MORROPON,VACUNO,30,90,45,0
20250803,20250731,200401,PIURA,MORROPON,CHULUCANAS,VACUNO,210,630,62,0
20250803,20250731,200404,PIURA,MORROPON,LA MATANZA,VACUNO,119,357,46,0
20250803,20250731,200409,PIURA,MORROPON,SANTO DOMINGO,VACUNO,10,30,10,0
20250803,20250731,200402,PIURA,MORROPON,BUENOS AIRES,VACUNO,8,24,13,0
20250803,20250731,200406,PIURA,MORROPON,SALITRAL,VACUNO,8,1520,1,190
20250803,20250731,200407,PIURA,MORROPON,SAN JUAN DE BIGOTE,VACUNO,11,2200,0,0
20250803,20250731,200408,PIURA,MORROPON,SANTA CATALINA DE MOSSA,VACUNO,7,10.5,2,0
20250803,20250731,200403,PIURA,MORROPON,CHALACO,VACUNO,10,10,5,0
20250803,20250731,200410,PIURA,MORROPON,YAMANGO,VACUNO,9,27,10,0
20250803,20250731,200601,PIURA,SULLANA,BELLAVISTA,VACUNO,363,83219,280,54.6
20250803,20250731,200607,PIURA,SULLANA,QUERECOTILLO,VACUNO,25,5000,25,5
20250803,20250731,200701,PIURA,TALARA,PARINAS,VACUNO,163,29340,160,25.6
20250803,20250731,200504,PIURA,PAITA,PUEBLO NUEVO DE COLAN,VACUNO,12,2160,8,1.44
20250803,20250731,200501,PIURA,PAITA,PAITA,VACUNO,10,1800,5,900
20250803,20250731,200301,PIURA,HUANCABAMBA,HUANCABAMBA,VACUNO,39,4696,117,20083
20250803,20250731,200302,PIURA,HUANCABAMBA,CANCHAQUE,VACUNO,,,,
20250803,20250731,200307,PIURA,HUANCABAMBA,SONDOR,VACUNO,,,,
20250803,20250731,200306,PIURA,HUANCABAMBA,SAN MIGUEL DEL FAIQUE,VACUNO,,,,
20250803,20250731,200305,PIURA,HUANCABAMBA,LALAQU Z,VACUNO,9,1575,0,0
20250803,20250731,200304,PIURA,HUANCABAMBA,HUARMACA,VACUNO,20,2170,5,490
20250803,20250731,200201,PIURA,AYABACA,AYABACA,VACUNO,44,6090,66,7.462
20250803,20250731,200206,PIURA,AYABACA,PACAIPAMPA,VACUNO,15,45,0,0
20250803,20250731,200202,PIURA,AYABACA,FRIAS,VACUNO,6,18,3,0
20250803,20250731,200209,PIURA,AYABACA,SICCHEZ,VACUNO,2,260,1,120
